symbol,name,exchange,region,currency,type
ETR,Entergy Corporation,NYQ,us_market,USD,EQUITY
EOG,"EOG Resources, Inc.",NYQ,us_market,USD,EQUITY
EPAM,"EPAM Systems, Inc.",NYQ,us_market,USD,EQUITY
EQT,EQT Corporation,NYQ,us_market,USD,EQUITY
EFX,Equifax Inc.,NYQ,us_market,USD,EQUITY
EQIX,"Equinix, Inc.",NMS,us_market,USD,EQUITY
EQR,Equity Residential,NYQ,us_market,USD,EQUITY
ERIE,Erie Indemnity Company,NMS,us_market,USD,EQUITY
ESS,"Essex Property Trust, Inc.",NYQ,us_market,USD,EQUITY
EL,The Estée Lauder Companies Inc.,NYQ,us_market,USD,EQUITY
EG,"Everest Group, Ltd.",NYQ,us_market,USD,EQUITY
EVRG,"Evergy, Inc.",NMS,us_market,USD,EQUITY
ES,Eversource Energy,NYQ,us_market,USD,EQUITY
EXC,Exelon Corporation,NMS,us_market,USD,EQUITY
EXE,Expand Energy Corporation,NMS,us_market,USD,EQUITY
EXPE,"Expedia Group, Inc.",NMS,us_market,USD,EQUITY
EXPD,"Expeditors International of Washington, Inc.",NYQ,us_market,USD,EQUITY
EXR,Extra Space Storage Inc.,NYQ,us_market,USD,EQUITY
XOM,Exxon Mobil Corporation,NYQ,us_market,USD,EQUITY
FFIV,"F5, Inc.",NMS,us_market,USD,EQUITY
FDS,FactSet Research Systems Inc.,NYQ,us_market,USD,EQUITY
FICO,Fair Isaac Corporation,NYQ,us_market,USD,EQUITY
FAST,Fastenal Company,NMS,us_market,USD,EQUITY
FRT,Federal Realty Investment Trust,NYQ,us_market,USD,EQUITY
FDX,FedEx Corporation,NYQ,us_market,USD,EQUITY
FIS,"Fidelity National Information Services, Inc.",NYQ,us_market,USD,EQUITY
FITB,Fifth Third Bancorp,NMS,us_market,USD,EQUITY
FSLR,"First Solar, Inc.",NMS,us_market,USD,EQUITY
FE,FirstEnergy Corp.,NYQ,us_market,USD,EQUITY
FI,"Fiserv, Inc.",NYQ,us_market,USD,EQUITY
F,Ford Motor Company,NYQ,us_market,USD,EQUITY
FTNT,"Fortinet, Inc.",NMS,us_market,USD,EQUITY
FTV,Fortive Corporation,NYQ,us_market,USD,EQUITY
FOXA,Fox Corporation,NMS,us_market,USD,EQUITY
FOX,Fox Corporation,NMS,us_market,USD,EQUITY
BEN,"Franklin Resources, Inc.",NYQ,us_market,USD,EQUITY
FCX,Freeport-McMoRan Inc.,NYQ,us_market,USD,EQUITY
GRMN,Garmin Ltd.,NYQ,us_market,USD,EQUITY
IT,"Gartner, Inc.",NYQ,us_market,USD,EQUITY
GE,GE Aerospace,NYQ,us_market,USD,EQUITY
GEHC,GE HealthCare Technologies Inc.,NMS,us_market,USD,EQUITY
GEV,GE Vernova Inc.,NYQ,us_market,USD,EQUITY
GEN,Gen Digital Inc.,NMS,us_market,USD,EQUITY
GNRC,Generac Holdings Inc.,NYQ,us_market,USD,EQUITY
GD,General Dynamics Corporation,NYQ,us_market,USD,EQUITY
GIS,"General Mills, Inc.",NYQ,us_market,USD,EQUITY
GM,General Motors Company,NYQ,us_market,USD,EQUITY
GPC,Genuine Parts Company,NYQ,us_market,USD,EQUITY
GILD,"Gilead Sciences, Inc.",NMS,us_market,USD,EQUITY
GPN,Global Payments Inc.,NYQ,us_market,USD,EQUITY
GL,Globe Life Inc.,NYQ,us_market,USD,EQUITY
GDDY,GoDaddy Inc.,NYQ,us_market,USD,EQUITY
GS,"The Goldman Sachs Group, Inc.",NYQ,us_market,USD,EQUITY
HAL,Halliburton Company,NYQ,us_market,USD,EQUITY
HIG,"The Hartford Insurance Group, Inc.",NYQ,us_market,USD,EQUITY
HAS,"Hasbro, Inc.",NMS,us_market,USD,EQUITY
HCA,"HCA Healthcare, Inc.",NYQ,us_market,USD,EQUITY
DOC,"Healthpeak Properties, Inc.",NYQ,us_market,USD,EQUITY
HSIC,"Henry Schein, Inc.",NMS,us_market,USD,EQUITY
HSY,The Hershey Company,NYQ,us_market,USD,EQUITY
HES,Hess Corporation,NYQ,us_market,USD,EQUITY
HPE,Hewlett Packard Enterprise Company,NYQ,us_market,USD,EQUITY
HLT,Hilton Worldwide Holdings Inc.,NYQ,us_market,USD,EQUITY
HOLX,"Hologic, Inc.",NMS,us_market,USD,EQUITY
HD,"The Home Depot, Inc.",NYQ,us_market,USD,EQUITY
HON,Honeywell International Inc.,NMS,us_market,USD,EQUITY
HRL,Hormel Foods Corporation,NYQ,us_market,USD,EQUITY
HST,"Host Hotels & Resorts, Inc.",NMS,us_market,USD,EQUITY
HWM,Howmet Aerospace Inc.,NYQ,us_market,USD,EQUITY
HPQ,HP Inc.,NYQ,us_market,USD,EQUITY
HUBB,Hubbell Incorporated,NYQ,us_market,USD,EQUITY
HUM,Humana Inc.,NYQ,us_market,USD,EQUITY
HBAN,Huntington Bancshares Incorporated,NMS,us_market,USD,EQUITY
HII,"Huntington Ingalls Industries, Inc.",NYQ,us_market,USD,EQUITY
IBM,International Business Machines Corporation,NYQ,us_market,USD,EQUITY
IEX,IDEX Corporation,NYQ,us_market,USD,EQUITY
IDXX,"IDEXX Laboratories, Inc.",NMS,us_market,USD,EQUITY
ITW,Illinois Tool Works Inc.,NYQ,us_market,USD,EQUITY
INCY,Incyte Corporation,NMS,us_market,USD,EQUITY
